Ramp,Metered Ramp,Archive Detector ID,RT ID,Detector Name,Longitude,Latitude,Link I Node,Link J Node,Link ID,Distance from downstream (J) node (ft),Distance from downstream (J) node (mi),ImrcpId
,,8085,928,US-69 S @ 95th Street,-94.706,38.9533,11113,150,11113-150,0,0,447013260
,,7967,816,US-71 S @ After Bannister Road,-94.538239,38.945454,11175,11464,11175-11464,0,0,533509645
,,7779,539,I-435 W @ S OF BANNISTER RD,-94.53172,38.95063,11245,14708,11245-14708,0,0,346691942
x,,7775,535,I-435 S @ BANNISTER ROAD OR,-94.53177,38.95068,11186,11462,11186-11462,0,0,329373620
,,7773,533,I-435 E @ S OF BANNISTER RD,-94.53348,38.94669,11410,14712,11410-14712,0,0,340566942
x,,7976,825,US-71 S @ After Bannister Road FR,-94.538152,38.944823,11464,14703,11464-14703,0,0,457152881
,,7965,813,I-49 S @ I-470,-94.534264,38.937363,11464,14763,11464-14763,0,0,347112421
,,8082,925,US-69 S @ 103rd Street,-94.7054,38.942,11509,2538,11509-2538,0,0,293146149
x,,7693,560,I-435 W @ BANNISTER ROAD OR,-94.53937,38.94059,11512,14704,11512-14704,0,0,355300671
x,,7971,820,I-49 S @ I-435 SB Freeway to Freeway,-94.534515,38.937542,11578,14763,11578-14763,0,0,364137870
x,,7969,818,I-470 E @ Bannister Road OR,-94.537736,38.940453,11578,14769,11578-14769,0,0,410407502
,,7772,531,I-435 E @ GRANDVIEW RD,-94.55031,38.93848,11581,14692,11581-14692,0,0,381406973
x,,7361,381,I-435 W @ QUIVIRA RD OR,-94.725239,38.935575,11623,11657,11623-11657,0,0,530410902
,,7530,141,I-435 W @ STATE LINE RD,-94.60582,38.93782,11625,11640,11625-11640,0,0,460824891
x,,7405,261,I-435 W @ STATE LINE RD FR,-94.6051,38.9381,11625,14792,11625-14792,0,0,469848180
,,8273,1116,I-435 W @ LEE BLVD,-94.620338,38.933399,11640,11707,11640-11707,0,0,461941383
x,,7577,203,I-435 W @ I-435WB TO 69SB FF,-94.7062,38.9363,11648,210,11648-210,0,0,437606121
x,,7798,767,I-435 W @ I-435/HWY-69 WB CD,-94.70226,38.93554,11654,11651,11654-11651,0,0,518742909
x,,7799,768,I-435 W @ I-435 TO HWY69 NB FF,-94.7021,38.93579,11654,14110,11654-14110,0,0,448109150
,,7694,563,I-470 W @ WEST OF I-435 MERGE,-94.53984,38.93947,11664,14706,11664-14706,0,0,373789688
x,,7885,723,I-435 E @ US-69 CD,-94.691933,38.934429,11678,314,11678-314,0,0,335006997
x,,7794,761,I-435 E @ ANTIOCH OR,-94.685,38.9355,11683,2169,11683-2169,0,0,280166955
x,x,7307,312,I-435 W @ ROE AVE OR,-94.6405,38.9329,11694,606,11694-606,0,0,418385737
,,7578,73,I-435 W @ ANTIOCH RD,-94.678731,38.9342,11706,14190,11706-14190,0,0,384347012
,,8238,1081,I-435 W @ ROE AVE,-94.64021,38.932714,11707,11709,11707-11709,0,0,509936338
,,8236,1079,I-435 W @ NALL AVE,-94.648475,38.931904,11709,11759,11709-11759,0,0,517616602
x,x,7311,317,I-435 E @ ROE AVE OR,-94.6376,38.9326,11712,605,11712-605,0,0,522858599
,,8237,1080,I-435 E @ Roe Blvd,-94.640197,38.932418,11718,2719,11718-2719,0,0,431204857
x,,7367,390,I-435 E @ QUIVIRA RD OR,-94.722124,38.93467,11721,323,11721-323,0,0,320381876
x,,7411,270,I-435 W @ METCALF OR,-94.6689,38.9338,11734,11706,11734-11706,0,0,281435231
x,,7414,277,I-435 W @ METCALF FR,-94.6643,38.9323,11735,11734,11735-11734,0,0,291459625
x,x,7286,282,I-435 W @ NALL AVE OR,-94.6501,38.9322,11739,2593,11739-2593,0,0,446610277
x,,7781,543,I-470 E @ RED BRIDGE OR,-94.527087,38.927186,11744,11884,11744-11884,0,0,304920161
x,x,7292,291,I-435 E @ NALL AVE OR,-94.6478,38.9316,11748,607,11748-607,0,0,294853959
,,7765,524,I-49 N @ SOUTH OF I-470,-94.52742,38.92945,11853,11762,11853-11762,0,0,497896085
x,,7762,521,I-49 N @ I470/I435 CD,-94.52662,38.92736,11853,14749,11853-14749,0,0,420600700
,,8106,949,I-49 N @ Red Bridge Road,-94.5276,38.9228,11878,11853,11878-11853,0,0,467414322
,,8090,933,US-69 N @ College,-94.7043,38.9227,12030,11913,12030-11913,0,0,364966341
,,8070,913,US-69 N @ 119th Street,-94.6948,38.9098,12194,12095,12194-12095,0,0,516795290
,,8069,912,US-69 S @ Blue Valley Parkway,-94.6835,38.9041,12222,12365,12222-12365,0,0,520912778
,,8068,911,US-69 N @ Blue Valley Parkway,-94.6834,38.9043,12306,12194,12306-12194,0,0,370497162
,,8067,910,US-69 S @ 135th Street,-94.676642,38.889209,12365,14051,12365-14051,0,0,335262186
,,8066,909,US-69 N @ 135th Street,-94.676286,38.88919,12458,12306,12458-12306,0,0,309462095
,,8338,1180,US-69 N @ 135th Street Directional Ramp,-94.67627,38.885395,12564,12458,12564-12458,0,0,501761872
,,8103,946,I-49 N @ 135th Street,-94.5258,38.8791,12766,12651,12766-12651,0,0,333767157
,,8341,1183,US-69 S @ 135th Street Directional Ramp,-94.676566,38.885381,14051,14066,14051-14066,0,0,311108904
x,,7806,595,I-435 W @ ANTIOCH FR,-94.6851,38.9355,14190,11678,14190-11678,0,0,368803238
