GaugeLID,Waterway,Lat,Lon,ImrcpId
BVCM7,Blue River,39.0366670,-94.5225000,394666763
DSOK1,Kansas River,38.9833330,-94.9644440,320273737
ICLK1,Indian Creek,38.9383330,-94.6077780,277060481
KAYM7,Blue River,39.0138890,-94.5250000,428619763
KBNM7,Little Blue River (MO),38.9641670,-94.4266670,288810459
KBRM7,Blue River,38.8894440,-94.5808330,514734443
KCCM7,Blue River,38.9572220,-94.5586110,448163472
KCDM7,Missouri River,39.1116670,-94.5880560,293711224
KCKK1,Kansas River,39.0900000,-94.6088890,424600484
KCTM7,Blue River,39.0966670,-94.4905560,453040448
KNYM7,Blue River,38.9722220,-94.5477780,435802462
KSDM7,Blue River,39.0586110,-94.5125000,443461103
KSVM7,Blue River,39.0897220,-94.4925000,305443060
KSYM7,Blue River,39.0700000,-94.5069440,404887609
KWPM7,Brush Creek,39.0333330,-94.6052780,285229958
LEVK1,Missouri River,39.3269440,-94.9094440,373165155
LKCM7,Little Blue River (MO),39.1005560,-94.3002780,293949938
MBYM7,Fishing River,39.3200000,-94.3130560,502569117
OPDK1,Indian Creek,38.9408330,-94.6711110,422305725
SBEM7,Missouri River,39.1791670,-94.1841670,401310529
STAK1,Blue River,38.8125000,-94.6755560,411355538
TCRK1,Tomahawk Creek,38.9061110,-94.6400000,445419224
TNGK1,Stranger Creek,39.1163890,-95.0108330,533885897
TNRK1,Kansas River,39.0933330,-94.7102780,346183457
TURK1,Turkey Creek (KC),39.0588890,-94.6261110,423017735
