ramp,isMetered,archiveId,realTimeId,name,physicalLon,physicalLat,iNode,jNode,imrcpId,segmentId,detectedLon,detectedLat
x,x,7286,282,I-435 W @ NALL AVE OR,-946500999,389322001,11739,2593,446610277,1230343012,-946500759,389321191
x,,7287,283,I-35 S @ 67TH ST OR,-946942999,390061001,-2147483648,-2147483648,291455480,1329996955,-946944239,390061541
x,,7288,285,I-35 N @ 67TH ST FR,-946938999,390062000,-2147483648,-2147483648,287328686,1328538263,-946936409,390067630
x,,7289,286,I-435 E @ NALL AVE CD,-946500999,389314000,2598,2615,296267812,1320385117,-946500919,389312971
x,,7290,288,I-70 W @ TRUMAN ROAD OR,-945442019,390964530,-2147483648,-2147483648,385376345,1234100033,-945442089,390964541
x,x,7292,291,I-435 E @ NALL AVE OR,-946478000,389316001,11748,607,294853959,1151298615,-946476140,389312760
x,,7293,292,I-35 S @ 67TH ST FR,-946941000,390085000,-2147483648,-2147483648,425962172,1222505094,-946942630,390085220
x,,7294,293,I-70 E @ TRUMAN ROAD FR,-945440999,390943000,-2147483648,-2147483648,353920761,1326976892,-945438709,390941140
x,,7295,295,I-435 W @ NALL AVE FR,-946479999,389320001,2599,11739,288426243,1292751322,-946479790,389323650
x,,7296,296,I-35 S @ 63RD ST OR,-946936000,390134000,-2147483648,-2147483648,303064840,1175600927,-946936409,390133940
x,,7297,297,I-435 W @ NALL AVE CD,-946479000,389320001,2599,2593,279770209,1115666773,-946480109,389320520
x,,7298,298,I-35 N @ 63RD ST FR,-946924000,390134000,-2147483648,-2147483648,412503294,1270553020,-946926700,390135690
x,,7299,300,I-435 E @ ROE AVE CD,-946418000,389322001,2674,2702,429043416,1170148467,-946418519,389321400
x,,7300,301,I-435 E @ ROE AVE FR,-946419000,389322001,2674,11712,358634187,1176013869,-946418739,389319771
x,,7301,303,I-35 N @ 63RD / SHAWNEE MI OR,-946924000,390164000,-2147483648,-2147483648,476867178,1076716172,-946925889,390163201
x,,7302,305,I-35 S @ 63RD / SHAWNEE MI FR,-946933999,390163001,-2147483648,-2147483648,514997850,1235517501,-946935329,390163410
x,,7303,308,I-435 W @ ROE AVE CD,-946415999,389325000,2676,2672,366420702,1188534875,-946415949,389327071
x,,7304,309,I-35 N @ ARMOUR  / HWY 210 OR,-945597070,391470030,-2147483648,-2147483648,331266520,1304681676,-945596699,391470360
x,,7305,310,I-35 S @ JOHNSON DR OR,-946925999,390208001,-2147483648,-2147483648,412086845,1116318488,-946923909,390208051
x,,7306,311,I-35 S @ ARMOUR  / HWY 210 FR,-945603930,391473141,-2147483648,-2147483648,437285700,1325896345,-945603559,391473361
x,x,7307,312,I-435 W @ ROE AVE OR,-946404999,389329000,11694,606,418385737,1116379172,-946405220,389331001
x,,7308,313,I-35 S @ ARMOUR  / HWY 210 OR,-945611509,391458710,-2147483648,-2147483648,359257946,1237483127,-945610749,391458630
x,,7310,316,I-35 N @ JOHNSON DR FR,-946915999,390232001,-2147483648,-2147483648,381368461,1240620914,-946911570,390231351
x,x,7311,317,I-435 E @ ROE AVE OR,-946376000,389326001,11712,605,522858599,1323995919,-946375289,389323900
x,,7312,318,I-70 E @ 18TH ST OR,-945419999,390893001,-2147483648,-2147483648,518137615,1263166919,-945420369,390892930
x,,7313,319,I-35 N @ JOHNSON DR OR,-946912999,390238001,-2147483648,-2147483648,333572701,1304323005,-946905509,390237601
x,,7314,321,I-35 S @ JOHNSON DR FR,-946919000,390234001,-2147483648,-2147483648,423122241,1147473407,-946918919,390234010
,,7315,322,I-70 W @ I-70WB TO I-35SB FF,-945880999,391075001,-2147483648,-2147483648,329597076,1138278098,-945888730,391070740
x,,7316,323,I-435 E @ WORNALL RD FR,-945991999,389396000,14788,11561,499955223,1251380808,-945991889,389395711
x,,7317,325,I-435 W @ ROE AVE FR,-946389000,389329000,2676,11694,427738153,1170709066,-946387949,389332790
x,,7318,327,I-435 W @ ROE AVE CD,-946389000,389327000,-2147483648,-2147483648,284172491,1170148467,-946388110,389324531
x,,7319,328,I-70 W @ 23RD ST OR,-945409999,390855001,-2147483648,-2147483648,389776039,1108236558,-945409529,390855041
x,,7320,329,I-70 E @ 23RD ST OR,-945414240,390828831,-2147483648,-2147483648,283247174,1218971881,-945413499,390829100
x,,7321,330,I-70 W @ 23RD ST FR,-945405999,390822001,-2147483648,-2147483648,351209693,1098893630,-945407330,390824060
x,,7322,331,I-70 E @ 27TH ST FR,-945382830,390779441,-2147483648,-2147483648,389301275,1094517267,-945380719,390778500
x,,7323,332,I-35 N @ ANTIOCH RD FR,-946881719,390316420,-2147483648,-2147483648,291441403,1075967377,-946881740,390316610
x,,7324,334,I-35 N @ ANTIOCH RD OR,-946874480,390325361,-2147483648,-2147483648,406441942,1112048087,-946872029,390325531
