linkId.Up,linkId.Down,detList.Down,distance
3668418284194376399,3668354121677942970,7315,0.10
3665059722847472375,3664892902022715995,7340,0.29
3663324659138044485,3663137480168308576,7397,0.37
3663360775518132995,3663137480168308576,7397,1.36
3663363859304629364,3663137480168308576,7397,1.05
3663370984655356198,3663137480168308576,7397,0.85
3663376602472566880,3663137480168308576,7397,0.69
3663377770703654747,3663137480168308576,7397,0.49
3661795208399041875,3661763189417855415,7403,0.05
3661904777309717504,3661763189417855415,7403,0.51
3663862139936112825,3663855869283848779,7422,0.05
3663867122098186700,3663855869283848779,7422,0.23
3663878954733111834,3663855869283848779,7422,0.60
3663913116903059736,3663895052270574356,7423,0.40
3663956178245204530,3663943271868469300,7424,0.08
3663967001562802405,3663943271868469300,7424,0.27
3664147540513187430,3664030335150600797,7425,0.18
3664186195218861795,3664030335150600797,7425,0.28
3674446872089138015,3673930904782972423,7432,0.05
3674473414987027115,3673930904782972423,7432,0.11
3674551042225934249,3673930904782972423,7432,0.36
3668351755149300129,3668140945269510159,7433,0.55
3668555851995204040,3668140945269510159,7433,0.75
3671312812978649620,3671183366959321784,7436,0.07
3671368776402513840,3671183366959321784,7436,0.23
3669783890520863945,3669988966619319291,7440,0.20
3669832488075817888,3669988966619319291,7440,0.15
3670725231387807135,3670650176834329666,7450,0.05
3672276736783771553,3672502501739654011,7452,0.55
3672394479017211570,3672502501739654011,7452,0.28
3670309293870171049,3670397830325960094,7455,0.52
3670316101393332250,3670397830325960094,7455,0.47
3670326014177844519,3670397830325960094,7455,0.45
3670334634177197445,3670397830325960094,7455,0.32
3670338929144488385,3670397830325960094,7455,0.22
3670345577753859396,3670397830325960094,7455,0.20
3670365600891384925,3670397830325960094,7455,0.15
3662975594260981530,3663269760866034791,7456,0.69
3663149699350257329,3663269760866034791,7456,0.25
3670352166232162550,3669903930560253950,7469,0.73
3669170848363883500,3669141187319741050,7470,0.05
3669192086977159865,3669141187319741050,7470,0.10
3670492053318408773,3670606192074262909,7471,0.54
3661741736056280144,3661567699686450974,7472,0.23
3661790505409939590,3661567699686450974,7472,0.36
3667555120320232399,3667470625428611899,7493,0.07
3668298862628572295,3668296560526114630,7495,0.02
3668298884103406889,3668296560526114630,7495,0.04
3668298862628572295,3668304918532465647,7496,0.02
3668298884103406889,3668304918532465647,7496,0.04
3668264678983895887,3668276713482249843,7497,0.08
3668270580268957104,3668276713482249843,7497,0.03
3668228790237189110,3668166581930895741,7498,0.06
3668259520728184345,3668166581930895741,7498,0.21
3668186635133229900,3668208492221813358,7499,0.15
3668287029993675306,3668286239719671669,7505,0.15
3668288640606406030,3668286239719671669,7505,0.05
3668288812405095524,3668286239719671669,7505,0.03
3669578071393866759,3669640709196800633,7510,1.21
3669619973094795705,3669640709196800633,7510,1.00
3669652709335513515,3669640709196800633,7510,0.96
3669653216141584210,3669640709196800633,7510,0.12
3669658155353981429,3669640709196800633,7510,0.15
3669661398054294430,3669640709196800633,7510,0.22
3669678058232460769,3669640709196800633,7510,0.71
3669694473597459609,3669640709196800633,7510,0.57
3669797277934680948,3669640709196800633,7510,0.86
3669906799600740742,3669640709196800633,7510,1.02
3674749946456375730,3675260854291066445,7517,0.24
3674446872089138015,3673930904782972423,7522,0.05
3674473414987027115,3673930904782972423,7522,0.11
3674551042225934249,3673930904782972423,7522,0.36
3667530664776444835,3667647578081218150,7525,0.14
3667555296413889264,3667647578081218150,7525,0.07
3668044342865083145,3668133308817655639,7526,0.06
3668327823591524728,3668539294896275965,7527,0.57
3668579710538522780,3668730442415782555,7528,0.11
3668644070623460860,3668730442415782555,7528,0.05
3669296819753099950,3669397472311680600,7529,0.09
3667823074739915120,3667663791582763781,7530,0.36
3668044622037959234,3667959590275428385,7531,0.06
3668645294689142375,3668555851995204040,7532,0.06
3669297957919435350,3668967434416208119,7534,0.09
3669499778432672255,3669397837383902740,7535,0.20
3669568197261696765,3669397837383902740,7535,0.37
3668358605623798280,3668292806724823269,7537,0.14
3668418284194376399,3668292806724823269,7537,0.24
3668525009836714134,3668476781648947675,7538,0.05
3668608014374676074,3668476781648947675,7538,0.33
3668997932980640710,3668861395970301830,7540,0.06
3669004929482365390,3668861395970301830,7540,0.09
3669019601090648920,3668861395970301830,7540,0.09
3669036067995261708,3668861395970301830,7540,0.12
3669090188878158465,3668861395970301830,7540,0.30
3669162129580366982,3668861395970301830,7540,0.41
3669092237577557355,3669035449519970585,7542,0.19
3669135943164752900,3669035449519970585,7542,0.23
3668984296459474075,3669048506220548315,7544,0.21
3669035191821930940,3669048506220548315,7544,0.04
3669090596900014215,3669137596727156909,7545,0.35
3669121645218611612,3669137596727156909,7545,0.14
3669080525201672230,3669084283298074860,7546,0.18
3669081006238014928,3669084283298074860,7546,0.13
3669083252505917365,3669084283298074860,7546,0.04
3669083273980751220,3669084283298074860,7546,0.06
3669088208898170591,3669084283298074860,7546,0.13
3669097705070856400,3669084283298074860,7546,0.19
3669105573450938588,3669084283298074860,7546,0.22
3669110358044451051,3669084283298074860,7546,0.92
3669115610789439629,3669084283298074860,7546,1.03
3669116452603093105,3669084283298074860,7546,0.33
3669117376021024665,3669084283298074860,7546,0.71
3669121628038613765,3669084283298074860,7546,1.09
3669125738322359181,3669084283298074860,7546,0.66
3669126953798053490,3669084283298074860,7546,1.20
3669129062627061225,3669084283298074860,7546,0.52
3669131871535600799,3669084283298074860,7546,1.24
3669136845107722572,3669084283298074860,7546,1.35
3669141256039128865,3669084283298074860,7546,1.39
3669142329780950900,3669084283298074860,7546,1.40
3669184068273108095,3669084283298074860,7546,1.89
3669361201314301884,3669084283298074860,7546,2.26
3669439498568091870,3669084283298074860,7546,2.29
3669462322024295464,3669084283298074860,7546,2.45
3669499782729032263,3669084283298074860,7546,2.73
3669520437226743595,3669084283298074860,7546,2.79
3669525677086840850,3669084283298074860,7546,2.82
3669547598599903923,3669084283298074860,7546,3.15
3669554775489997150,3669084283298074860,7546,5.93
3669567484298283152,3669084283298074860,7546,5.65
3669569610306998326,3669084283298074860,7546,6.51
3669571139315636340,3669084283298074860,7546,3.21
