ObsType,SiteID,SiteUUID,DeviceID,DeviceUUID
TPVT,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,6,af0800d2-6537-4ac1-8e0b-f5ebc11819c3
TAIR,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,7,4fe26c5f-f872-45c5-a37d-095e79c7079f
TAIR,5,0f7d9b8f-3330-4d71-b887-712e4b908c02,4,70220f9a-9af0-4f21-9cbe-a28b3b4c11f9
TPVT,6,12d4e5af-42ca-43bf-8872-0990551e9bf0,3,ea7ef85b-396b-40e0-91cb-b56c1ccc1989
TAIR,21,30341126-71b3-4bde-885b-cfb8fac9d54f,4,d56810f8-6add-401c-8852-27e53598a1b3
TPVT,22,7929a6b8-d0ef-48aa-a197-bd7ca035bd09,6,914b84de-5745-4833-bfa7-f86fee7451a7
TPVT,49,2c305037-331d-4040-9b9b-eac751b18625,9,01efc46b-40e8-4bb6-aab8-9595df36f626
TAIR,54,8e9a3a93-058c-4ae7-99a8-442008c9d306,4,380762ac-aada-4da1-a3a9-1f0a4e3ff63d
TAIR,59,101ce0fd-dc55-48d1-b132-cdb5502ed551,7,3630f9ac-06e1-4fe1-beac-137e4636d8bd
TAIR,59,101ce0fd-dc55-48d1-b132-cdb5502ed551,8,89cf281c-8696-460b-9043-c5ff0ce73fad
TPVT,61,cf5c2735-545a-4ccf-9ab2-ccfea5bc5723,3,7d3b9a17-f01f-4ed2-a1a3-7eecd13859c9
TPVT,62,87d78738-825c-4d6f-b195-c1f6fe67d363,9,1977f93f-dabd-4c24-9180-30a902305100
TAIR,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,4,f3ff17e3-1b47-45bd-918b-f8bb07c78320
TAIR,70,a29716a2-6e79-4616-bca5-2c3fe4408f46,5,fa6aeda2-0d07-4628-8480-67cfd883c9bf
TAIR,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,4,8ffba041-3b0c-40f5-9f1b-8ca876993ac7
TAIR,80,1c1b244a-1d7d-4999-86eb-5e1c8c27160d,6,fd64b23b-89b4-4fa7-bfef-d11271a43b79
TPVT,80,1c1b244a-1d7d-4999-86eb-5e1c8c27160d,7,06ffc10e-ae20-4985-8ab5-e9658f7a8a90
TPVT,82,b8607998-b3bf-4e1e-8132-91fcfa3eea81,5,6af04267-4970-4d4a-919e-546ff4f89426
TAIR,84,ae8118fc-8e68-4f10-86ff-3964ea7c3063,4,6a18b69d-b262-4302-a5fe-029b59fe3254
