Name,Latitude,Longitude,Site ID,Site UUID,ImrcpId,InUse
108th @ East Branch of 2nd Creek,39.2893368,-94.6289691,163,231d5696-bd3b-4d2b-993f-c23bb623e347,391745554,1
108th @ West Branch of 2nd Creek,39.2891981,-94.6453783,164,027b5d99-aba1-4588-94e6-0f04ebf019b9,492945188,1
96th & Brighton @ East Fork Shoal Creek,39.2669295,-94.5185553,157,2e7817c9-272b-45e7-8830-6428d12cbc4e,278907377,1
Barry Rd @ East Fork Shoal Creek,39.2453747,-94.4980111,155,34a7e01c-395c-408c-a8d2-d2811ba1ab23,365547782,1
Barry Rd. @ Line Creek,39.2462342,-94.6177081,190,258058d2-2a67-43bf-95af-ad4a7e3383cc,421100876,1
Birmingham Pump Station,39.1895939,-94.4249156,230,48964fac-2010-4d87-8bc9-467ddc184ef0,404434550,0
BL01-U.S. 69 @ Blue River,38.8126100,-94.6756900,48,6ad62053-ca48-4b50-b2d8-809f921c8164,361118477,1
BL02-191st St & Mission Rd,38.7817500,-94.6316300,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,441684975,1
BL03-Mission Rd @ E. Camp Branch,38.8073800,-94.6305200,9,3fe96411-b359-4598-bd33-3a67af8d3242,473798703,1
BL04-Kenneth Rd @ Blue River,38.8425800,-94.6128000,10,fad65865-34ea-41f4-b552-69a9939e7dd9,333255818,1
BL05-Prospect & Hwy 150,38.8594867,-94.5855265,185,58bcb815-6be3-460e-a614-dcd83d0a4e52,463772409,1
BL07-Hickman Mills Dr & I-470,38.9314973,-94.5260081,179,c10a55f9-9cbb-40e6-a950-b6152388253b,307205307,1
BL08-Bannister & Hwy 71,38.9538978,-94.5385010,180,5e6a06cb-77fa-4a25-bd95-84db51088faa,316693406,1
BL09-85th @ Blue River,38.9727116,-94.5483758,21,30341126-71b3-4bde-885b-cfb8fac9d54f,427154352,1
BL10-75th Ter & Troost,38.9986000,-94.5583000,142,d2a61ce5-14f8-428c-846f-96bcf924bea0,439538839,0
BL11-63rd @ Blue River,39.0142745,-94.5241348,16,83a50b0b-26ef-4cea-9376-92e121407874,424281648,1
BL12-Colorado Ave @ Blue River,39.0374053,-94.5226206,30,f2d82b3f-6add-4f81-8be5-61611e1f1beb,444256929,1
BL13-Blue Ridge Cutoff @ Round Grove Creek,39.0366338,-94.4765680,139,d40c5f2e-09fe-4f86-a722-7bfb141f0574,354076299,1
BL14-Raytown Rd @ Trib 1 Round Grove Creek,39.0386493,-94.4785829,140,18f9afeb-ca7f-4260-844b-f01d0f5c1271,312935303,1
BL15-KC Animal Shelter @ Round Grove Creek,39.0444644,-94.4928498,141,f37c7c9a-25ed-4ddf-b16f-d58631804265,341284454,1
BL17-Winner Rd & 12th St @ Gooseneck Creek,39.0981095,-94.5234476,192,6de2e0b4-ce66-4b8c-84cd-568001dc02d4,503217045,1
BL18-17th @ Blue River,39.0897708,-94.4930787,46,7a119766-9bdd-4acb-a777-97200ee8c73f,414622998,1
BR01-Nall Ave @ Brush Creek,38.9924400,-94.6492500,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,387524795,1
BR02-Porter Park,38.9946935,-94.6396259,91,2c366648-2217-4263-a9c0-7d1be3dcac17,269525274,1
BR03-74th St @ Brush Creek,38.9973800,-94.6364700,94,c69b7b9d-477a-47f7-9c41-2837662e4cec,531680831,1
BR04-66th St & Mission Rd Master,39.0095800,-94.6297200,24,239d5f75-1ec9-4c83-8cf5-0d15a783304c,445079105,1
BR05-63rd St & Mission Rd,39.0146360,-94.6312260,273,e95df609-a894-4819-a630-f0cf741b09fe,436340798,0
BR06-Martway @ Rock Creek,39.0225757,-94.6427877,106,df8e2b91-db3c-4fec-8fda-5b70977b82c1,506560011,1
BR07-Mission Rd @ Rock Creek,39.0283000,-94.6260200,132,3462ea93-7321-4585-89fa-d581d30a2a21,378431852,1
BR08-Fairway Master,39.0280000,-94.6235000,43,70c72a6c-6890-4a65-be1e-9d6d6fc26a36,385692791,1
BR09-Belinder Ave @ Brush Creek Master,39.0233800,-94.6165000,39,793c3698-6d60-4df8-85f0-89ddb8ad5fe5,469614924,1
BR10-Ward Parkway,39.0330694,-94.6053658,37,1163bebf-8917-4f48-8d84-333ebf1a3fb4,426173710,1
BR11-Main/Brookside,39.0403125,-94.5854459,34,8bcec69a-6436-4041-8868-a8107d787026,366881085,1
BR12-Oak & Rockhill,39.0042676,-94.5841980,194,039c28a4-99a8-426e-81c3-27d8594f8144,436092392,1
BR13-Brooklyn PS,39.0135336,-94.5644800,23,1168a9d9-964c-49bf-8f09-c6d33708b090,472837431,0
BR14-Linwood,39.0667649,-94.5655363,44,6e4b0f6e-8d33-48ab-b43d-5d175453c1ed,305016701,0
BR15-Paseo HS,39.0405277,-94.5664928,33,3cfbe8f5-d710-400a-9a37-35afc9a331a2,436499730,0
BR16-Elmwood,39.0370608,-94.5313469,31,8d41a32a-1bea-4d23-b223-a4a44d1830cb,272791575,1
BU01-199th St @ Martin Creek,38.7676040,-95.0242210,275,d6e49f04-5672-442b-a437-448c92a7a4df,442722129,1
BU02-191st St & Dillie Rd,38.7827200,-94.9919700,8,884c5bad-94d9-4134-83d6-91a97ab9e348,482541182,0
BU03-New Century Airport,38.8228000,-94.8986900,77,9d9f4481-eb7b-44bf-b7d4-af97f989de4e,319477686,0
BU04-199th St & Clare Rd,38.7689330,-94.8713850,276,a23529bb-f19f-439b-82df-c455da116ab0,439822787,1
CD01-JoCo Transit Building,38.8632200,-94.8441300,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,272165902,1
CD02-Olathe Lake Discharge,38.8836900,-94.8798600,82,b8607998-b3bf-4e1e-8132-91fcfa3eea81,386114614,1
CD03-127th St @ Cedar Creek,38.8982500,-94.8881100,83,3a6c8235-0343-407b-85fb-654e6ccae439,527465247,1
CD04-119th St @ Little Cedar Creek,38.9127200,-94.8816600,85,1e8f2d00-6bca-4bc6-904d-2a609099f6d7,512006338,1
CD05-119th St @ Cedar Creek,38.9126100,-94.8881600,86,e87cedc6-2515-4b81-8154-2c967e476c92,519262087,1
CD06-K-10 @ Cedar Creek,38.9560200,-94.9152700,117,dfbb17cc-21d2-45dd-97bb-54235b783df6,296115687,1
CD07-95th St @ Camp Creek,38.9563000,-94.9233900,118,75968fd7-b885-42f9-a15e-f359164aaa05,271043860,1
CD08-Desoto Streamway Park,38.9805000,-94.9258600,121,c2d3cba4-ba9f-4782-87f1-7c55f30a614a,481137915,1
