id,action,flood,moderate,major
BVCM7,51.00,56.00,61.00,67.00
DSOK1,22.00,26.00,33.00,36.00
ICLK1,17.00,20.00,24.00,27.00
KAYM7,41.00,48.00,53.00,55.00
KBNM7,21.00,27.00,29.00,34.00
KBRM7,29.00,35.00,39.00,48.00
KCCM7,28.00,34.00,40.00,42.00
KCDM7,29.00,32.00,35.00,49.00
KCKK1,29.00,33.00,54.00,55.00
KCTM7,23.00,30.00,35.00,40.00
KNYM7,54.00,61.00,66.00,68.00
KSDM7,26.00,33.00,39.00,43.00
KSVM7,20.00,24.00,25.00,27.00
KSYM7,23.00,30.00,35.00,40.00
KWPM7,40.00,47.00,48.00,50.00
LEVK1,17.00,20.00,24.00,30.00
LKCM7,12.00,18.00,25.00,27.00
MBYM7,12.00,18.00,26.00,29.00
OPDK1,10.00,14.00,16.00,18.00
SBEM7,19.00,22.00,29.00,31.00
STAK1,10.00,16.00,18.00,30.00
TCRK1,10.00,13.00,18.00,20.00
TNGK1,18.00,23.00,30.00,35.00
TNRK1,37.00,41.00,47.50,54.00
TURK1,55.00,61.00,63.00,64.00
