imrcpid,ladotdid,makemodel,lon,lat
0485878a8470f95aef61710d0e99395f,8099,INRIX VPP,-924315200,313464900
046c0a531d94a11a9f18453ad9305df0,8103,INRIX VPP,-923585200,302308200
04dbb9bcab23290719cffc33bba9accd,8104,INRIX VPP,-924170560,313333700
04a62c7405b15c6598110c3f4d817e53,8105,INRIX VPP,-904392960,304788660
04a4ca272f179d4dd48d373de3cc996b,8106,INRIX VPP,-925792240,317967400
043b688a6eebc67b73e3c936d9f9502b,8107,INRIX VPP,-898574640,301520300
04499c309fdd29514b7b71de1849c59c,8108,INRIX VPP,-909550480,302839600
046f2b1ab63883b95a106c8cf62109c7,8110,INRIX VPP,-934423040,310989580
0428af705771e3bba44cac52cfa84a60,8111,INRIX VPP,-910534400,303979500
043dfb652193a61f7a1dac97cacfb9f1,8112,INRIX VPP,-910526800,303974700
046bbe23bebd7b6bc3562efaa0f9cb96,8114,INRIX VPP,-925854400,318237500
046c0a531d94a11a9f18453ad9305df0,8115,INRIX VPP,-923494480,302308300
04c385d7786c4d7b8b85bbdf1e796942,8116,INRIX VPP,-910557760,304004900
043ff35d42d320c7e37a5453e66eec6b,8118,INRIX VPP,-923312960,302307800
04e362e05e906186b27a49f5a5f6ee56,8119,INRIX VPP,-910536320,303743600
042116ae56fb15bf1dcfab857817de97,8122,INRIX VPP,-925854000,318119000
04351466cb2d83977aae7c88ec2ce6ab,8123,INRIX VPP,-919272880,306754600
045d2c9853231567e08f03e1656e62b4,8126,INRIX VPP,-919272880,306754600
04066c4f867437da232d5061608530e7,8127,INRIX VPP,-910063120,303227800
04054548404d5b1b4e33cd7e6a8033c6,8128,INRIX VPP,-931906560,302369700
0468b3b594ee3de4aeb6f9c09cb48a2a,8129,INRIX VPP,-921556800,302350320
043bda88cf993066e50cb3d6261c912b,8130,INRIX VPP,-901203360,299559600
04a0abd4c40c414c273811c6c67661fa,8131,INRIX VPP,-913305200,305073200
046301d42ab19816c45b97cddea52a85,8132,INRIX VPP,-919210400,306683540
04e2ed21acf3314fe3b7e1451d710429,8134,INRIX VPP,-910198480,303360700
0481edfd3b496f4976384706eecd6251,8135,INRIX VPP,-903955680,298957800
0461e104bae5a78938c26a5dce129c5a,8136,INRIX VPP,-913860880,308226500
04d93094039190fbc62241e625dc8be4,8137,INRIX VPP,-933508400,302367400
04f0a798c397a83e26e032fc44e06bb5,8139,INRIX VPP,-900887040,298961700
04ce55d370f94deec6156b1bb85b4e03,8140,INRIX VPP,-919210400,306683540
041d5a351fc817fd95915161e0941a9a,8141,INRIX VPP,-901010480,299625000
046a769749a4885b6213f7d256b81f9d,8142,INRIX VPP,-903949920,298962800
04f0b9f2b3de23ae96cce0e89bb37601,8144,INRIX VPP,-933594240,302367000
04d682fe395ee1eab5363f8a8999ed70,8146,INRIX VPP,-924872000,325346220
04a6e235906dea33c675196760b05ba3,8147,INRIX VPP,-899387440,300489000
041494c36a56304f97674f1c9f6678dd,8150,INRIX VPP,-919460640,306967700
04fdec53f15643b3bbb3f54ad7771c4c,8151,INRIX VPP,-912021040,305598700
04d682fe395ee1eab5363f8a8999ed70,8152,INRIX VPP,-924772240,325330820
04a282dd454685d8e68bb9d1582c38dd,8153,INRIX VPP,-924451040,313301800
043810687e99fd5606be73e079fb922b,8155,INRIX VPP,-924534800,302356260
0478c13ea495eed306f96d61a5791343,8156,INRIX VPP,-915171680,305537140
04bd71e804f72ec706b58c20c8adc720,8157,INRIX VPP,-910747040,304231900
045b33e15ab3aefe8cf8be050e428399,8159,INRIX VPP,-919398080,306896680
045a57dab10de54ae813ad448894365e,8161,INRIX VPP,-921844400,302351400
0404c19a17c49eb081693476ddc44348,8162,INRIX VPP,-924620240,302341700
046157617ef1efd3a9ad194a0d96bbfe,8163,INRIX VPP,-931830400,302444400
04bb5a6871a53e512af1c019bb1626bb,8164,INRIX VPP,-924350960,313396200
04bf9d3685e5286a7aafa7b4420e2c5b,8165,INRIX VPP,-905074560,305946360
0478c13ea495eed306f96d61a5791343,8166,INRIX VPP,-915080400,305534900
044bd9c72e6ae3bf3362bde4cd9e0299,8167,INRIX VPP,-912062000,305676560
04824d44a1175197be0357df340c1f53,8168,INRIX VPP,-919335520,306825620
04d682fe395ee1eab5363f8a8999ed70,8169,INRIX VPP,-924971760,325361680
0404c19a17c49eb081693476ddc44348,8171,INRIX VPP,-924660560,302335900
04580e05f70c5f94307b1fe9fc3b7a3f,8172,INRIX VPP,-921760720,302349600
049277b6b6cfcad1ae85b739d21439c0,8173,INRIX VPP,-932967120,302300560
042cbea52eed5f3bcf0cd4c919993e8b,8174,INRIX VPP,-914969440,305532200
04d682fe395ee1eab5363f8a8999ed70,8175,INRIX VPP,-924519120,325294340
044c7211ff7f7e6f22c1768ad9b62fb9,8176,INRIX VPP,-905102240,306017540
043e22894860e65f6655a6a6e6d43863,8177,INRIX VPP,-912102880,305754600
0436bf243a39577f0a46f7cc2e0c8cb3,8178,INRIX VPP,-919335520,306825620
0482b1a5b593be9a729575f246f1a950,8179,INRIX VPP,-924761360,302321680
041e8ad96d86d9fbf383c2e094fa3b56,8180,INRIX VPP,-919585840,307109800
04db350f05e7c8cf93e571c89afc5e81,8181,INRIX VPP,-924374400,325267680
042e6192da6c0c400a442bbe3174c0d4,8182,INRIX VPP,-938435120,324537700
044c7211ff7f7e6f22c1768ad9b62fb9,8183,INRIX VPP,-905129840,306088720
04b949c2967fbe36b094f8b4555bcfa5,8185,INRIX VPP,-932889760,308467200
04d682fe395ee1eab5363f8a8999ed70,8187,INRIX VPP,-924672480,325315400
04198047a9322b88da3b7f42cb6fb371,8188,INRIX VPP,-915473360,305544400
04a199789e97a20a90ad4cfa3d6041c2,8189,INRIX VPP,-919585840,307109800
044c7211ff7f7e6f22c1768ad9b62fb9,8190,INRIX VPP,-905157440,306159920
04015e67f21cade8a341a4c93b0912e9,8191,INRIX VPP,-924176560,302360220
04e47222fd644194827cf5ffd60c0483,8193,INRIX VPP,-920914640,321547160
0465d53c4fb78db19daa85d52fa2d281,8195,INRIX VPP,-922015520,302349880
04d682fe395ee1eab5363f8a8999ed70,8196,INRIX VPP,-924572640,325300220
04925244cafc37e8302bac7afc61822c,8197,INRIX VPP,-938923120,329666140
042aca5b0096243cb7abee281cea347e,8198,INRIX VPP,-900848640,304292900
041e8ad96d86d9fbf383c2e094fa3b56,8199,INRIX VPP,-919523200,307038760
0425d27d2fd02323b7c4cbf4ff642d18,8200,INRIX VPP,-915372800,305541880
046248821de9e12246a74da0d4e6402c,8201,INRIX VPP,-924266240,302360640
04f4d6412416ba93d2edf1f7edfd92c8,8202,INRIX VPP,-924077360,325219800
04de22077359de1e09f2df262dc13723,8203,INRIX VPP,-920930720,321732560
0442899a6804e8af82d6aebb38e2df7e,8204,INRIX VPP,-905041040,305661580
048a52dc87ed3ebc1b805d2d023bc96f,8205,INRIX VPP,-922015520,302349880
04ac4856f2e2b55f2045a9f291220943,8206,INRIX VPP,-920948000,321652480
04fdec53f15643b3bbb3f54ad7771c4c,8207,INRIX VPP,-911986560,305537660
04a2cd7b9795c14cdfd49a13d4f0e630,8208,INRIX VPP,-921344720,299930300
04c0544e6837169573f1121185e70cfc,8209,INRIX VPP,-926652320,329524200
0452dfc9af986b8ccc3b814c44a2c5c9,8210,INRIX VPP,-900848960,304290400
04a199789e97a20a90ad4cfa3d6041c2,8211,INRIX VPP,-919523200,307038760
046248821de9e12246a74da0d4e6402c,8212,INRIX VPP,-924355840,302361000
045027148bbddcecee889dd1e4d2789f,8214,INRIX VPP,-900594160,299995200
0479131fa886ca71cbb485452a05d1e7,8215,INRIX VPP,-920648560,321318020
0432e5701139abb60cad8d195a2efeec,8216,INRIX VPP,-923976000,325219540
044bb5453a9d709296ae5884354b2406,8217,INRIX VPP,-915272240,305539800
0442899a6804e8af82d6aebb38e2df7e,8218,INRIX VPP,-905042000,305742700
04d71313a492175346acf683660e2503,8219,INRIX VPP,-921930080,302349600
040cc055db58060c7e2f5e729c750a6c,8220,INRIX VPP,-920672320,321223980
044342a567a7d554296912a49d12d375,8221,INRIX VPP,-920645840,321317600
0411b83382960cd3a2164bf7c42eb218,8222,INRIX VPP,-902619360,300078700
0485a611214f438cb8caa67f025eec68,8223,INRIX VPP,-919709600,307250100
043810687e99fd5606be73e079fb922b,8225,INRIX VPP,-924445600,302361440
04db350f05e7c8cf93e571c89afc5e81,8229,INRIX VPP,-924292320,325245860
04e9eb021a1423f971d1c9a5f62817d5,8230,INRIX VPP,-913471120,309929860
04e9eb021a1423f971d1c9a5f62817d5,8231,INRIX VPP,-913459360,309861000
04065d2717a8819712e293080795c9a4,8233,INRIX VPP,-913458000,309739900
04749796b9cd4dcf68be6345cbc922db,8234,INRIX VPP,-905042400,305799800
046d71f12a84c30f961cbf418bb7a107,8235,INRIX VPP,-919778560,307318500
0495d77c6c95d1bc52c471b4cee3fb87,8236,INRIX VPP,-913382800,309293800
0495d77c6c95d1bc52c471b4cee3fb87,8237,INRIX VPP,-913365360,309197700
04c9ace876db95ac870f3444628370be,8238,INRIX VPP,-913417920,309102200
