id,action,flood,moderate,major
6ad62053-ca48-4b50-b2d8-809f921c8164,15.5,36.23,,
3fe96411-b359-4598-bd33-3a67af8d3242,8,10.53,,
fad65865-34ea-41f4-b552-69a9939e7dd9,11.5,15.5,,
f2d82b3f-6add-4f81-8be5-61611e1f1beb,51,56,61,67
c69b7b9d-477a-47f7-9c41-2837662e4cec,0.7,5,,
239d5f75-1ec9-4c83-8cf5-0d15a783304c,4,5,,
3462ea93-7321-4585-89fa-d581d30a2a21,11,14.53,,
70c72a6c-6890-4a65-be1e-9d6d6fc26a36,5.5,8,,
793c3698-6d60-4df8-85f0-89ddb8ad5fe5,3.2,4,,
d6e49f04-5672-442b-a437-448c92a7a4df,8,14.83,,
b8607998-b3bf-4e1e-8132-91fcfa3eea81,13,17.19,,
3a6c8235-0343-407b-85fb-654e6ccae439,14,18.36,,
1e8f2d00-6bca-4bc6-904d-2a609099f6d7,10,14.23,,
e87cedc6-2515-4b81-8154-2c967e476c92,16,18.62,,
dfbb17cc-21d2-45dd-97bb-54235b783df6,20,26.98,,
75968fd7-b885-42f9-a15e-f359164aaa05,16,20.37,,
58b49c20-8c93-4c3b-b762-e9a1bfbdc731,16,19.38,,
6dca6364-0807-4086-a5a2-57e210328369,11,13.32,,
111e6a56-5618-48e5-ab0a-6200efbf744e,15,20.86,,
ebb8e8c0-4852-494c-b6fd-118ab6502ef4,10,13.07,,
6ee54332-1aee-4eaf-9250-63e51b99fb6e,12.8,14.6,,
726c7eff-6dd7-420a-b494-eb15255be8b4,10,15,,
8b0b7051-1943-4d32-8878-15a77aecb701,11,15,,
a1340b8a-fb73-451a-bcf8-c6309e20feed,13,15,,
1ec17411-0592-4439-8ca3-262cc9424a17,14,15,,
1b76f428-a353-4970-85f3-c115a3851c84,10,14,,
67645365-7845-4119-911a-aebac7ef8d78,7,17,,
3ab3528f-b3d2-43d0-9a91-9066976aad18,8,15,,
3deb810f-8147-4fa1-acb8-991dd3e5cfcf,6,7.75,,
49dd4d7f-2dab-42de-97c7-baf5b2debf1e,20,24.85,,
7929a6b8-d0ef-48aa-a197-bd7ca035bd09,5,8.3,,
a32d451f-1958-4fdd-9796-3ccf462f9c31,10,13.36,,
1c1b244a-1d7d-4999-86eb-5e1c8c27160d,19,22.25,,
2baeefd3-ed48-47f2-8077-32527d5ad361,14,17.17,,
a62125f9-24a9-4821-bb3f-450963c9e5d2,15,19.65,,
876523f1-1541-4a58-b0a7-8e827fc421ea,21,26.54,,
596139fc-5c0d-49f7-b6d2-1c00c0baf7ee,6.56,,,
6a4bc77f-ddc5-4691-9038-82422e811f1a,15,18.79,,
e952ae64-dfda-4f99-bedb-8f5126dfcd2e,14,17.3,,
2eb1e628-ce60-49fd-85ac-4a1188db81b0,9,13.01,,
5964ba2a-8dc9-48d0-b670-35bfb9c85add,15,17.25,,
d2f1a4df-4746-4600-8514-d5456a3cc5d0,5,,,
e93e7f7e-2474-4c8d-9657-6d9974d1c483,30,35.75,,
cc48e768-e9f3-401b-bae0-5645f9d38166,7.61,17.93,,
fe82a06a-d117-41f9-a2f7-4ea9c08f4376,1.5,8.38,,
f89025a8-8242-4173-8b4f-9d3e543dafac,5.33,23.09,,
536b09f1-4e0a-433d-8eff-abda924a193f,8.5,17.25,,
937b149a-1bee-4e80-ace2-7acd36c1796b,4.72,12.22,,
85e403be-2cdb-4278-9245-70054936beaf,3.42,16.8,,
8dd4a912-1800-4b43-b5c1-997e0cf6695f,7.05,18.35,,
426748f5-85d6-4a62-b9fd-eb475e517ca7,4.87,18.23,,
bce696e8-3b9a-439e-8086-2d79d8ef0ddd,5.15,13.34,,
cf5c2735-545a-4ccf-9ab2-ccfea5bc5723,9,16.5,,
87d78738-825c-4d6f-b195-c1f6fe67d363,10.25,19.55,,
0dc8c549-e7ec-4c34-8025-d2a87a9155c1,6,11,,
3a3a3cd7-4c83-4cd7-8655-5387e1bbbd53,12,15.36,,
bd978dbb-c74b-4bb9-a5f5-626a128371ec,7.35,16.74,,
3d355c0c-2f2e-4f19-b485-781d3f828661,,,,
b9742faf-ec3c-4ec9-af15-489ee569b55f,16.4,17.2,,
b031e79e-f6dd-4909-a39f-ae6d69f96200,15.1,16.2,,
12d4e5af-42ca-43bf-8872-0990551e9bf0,,,,
664da8cd-8b11-4656-978a-8588cd44ba02,4.65,17.1,,
2c305037-331d-4040-9b9b-eac751b18625,14,24.63,,
