mlplink,tmc
3676597555489156090,119N05909
3668383258735962426,119+04684
3672212862031957464,119+04568
3656033965039266257,119N04675
3654271374885743157,119P04459
3671583602077555677,119P04681
3655150391482527152,119N04459
3682354860366664739,119+08110
3675840588978543514,119N05910
3658419325451910866,119P05951
3686234160723123586,119P08558
3657048389068569635,119P04670
3681177365015725240,119+07043
3668143775655367511,119N17205
3668539694330637155,119N17205
3656576823135542090,119-08549
3685762882551675417,119-08557
3655785892023503754,119P04459
3669526080814442679,119-13794
3669122293758523765,119-04421
3670806608134053135,119P17219
3650651529202759265,119-04666
3658576431060324860,119N14054
3659656422059284500,119P17472
3663441641162106611,119-04657
3672315215393009980,119-05043
3663677971741581377,119N05921
3669537677225226030,119-13034
3670652483232516300,119+04680
3672529787668315564,119P04386
3665399781180224070,119P05954
3672533485635160695,119P04386
3668479229782249898,119N05956
3674454186420606801,119P04390
3665581192006474964,119+07009
3672796440710924984,119N14197
3665882844742462082,119N05917
3668425761729995686,119N06949
3669703926819190280,119P13061
3677410841905468955,119P13053
3678974330259953671,119-14291
3655016590367704520,119+08610
3685169386792355205,119N04431
3668566482042892915,119+05957
3668145377678024835,119-04594
3672304258935155483,119P17219
3657087451796126695,119P04670
3670215431652525834,119N06950
3665713764764394685,119N05954
3672328400945276275,119N04441
3668943404077390637,119N04571
3665749004969383230,119+04587
3672745721443649695,119N04682
3669054583600821770,119P04571
3678096627923109595,119N16976
3664781670959662545,119+07009
3665863440077774129,119-12424
3667101825178585053,119+13792
3672559869619331625,119-04386
3669065621662764542,119-06949
3675800027307413188,119N05910
3663564262482438115,119N04559
3662892744345487909,119+17342
3662935346126103524,119+17342
3667150538697726849,119P05924
3666560998603129425,119N04574
3668310072494086896,119N17205
3669817468574282229,119N07146
3665683575438995562,119N04552
3664940765140386718,119N05953
3668813953762271409,119P17205
3672243102894748472,119+13001
3672758245567626403,119-04449
3664728232976577625,119N04582
3678094111072229500,119P17007
3665070335711386800,119P07008
3667193131888357935,119P04474
3669578256076422000,119N13036
3661925453283986275,119P04588
3662148538178813491,119N13882
3678178189351894270,119P04627
3661016608139376007,119-04461
3662781655013096966,119N13901
3672040960260897470,119N04568
3666596466441973895,119-12952
3668935488452674078,119N04581
3657757303483602948,119N07074
3681162027687518736,119N07043
3649983240881428146,119-04667
3666917652685835423,119+04424
3672722249445171180,119P04618
3674770734098093620,119P04440
3672625234724607879,119N04677
3672737324782584195,119P04682
3670806182932298860,119N04382
3678117029017613495,119N06998
3668507443422312262,119N17251
3673602631844572536,119N17267
3668418481764894843,119P05917
3672509236249788648,119-07138
3671537697467437899,119P17200
3672452985062785580,119+12929
3668890795021470225,119+13069
3658534709745264465,119P17472
3665805634114863534,119+04574
3681181582673608828,119+07043
3669714724366961829,119P07012
3665692848273373017,119N04552
3675759938082685580,119N05910
3664595320916630697,119N04653
3665686916921990235,119-09640
3666578513479762577,119N04574
3655323324045737913,119P04459
3671752145185624124,119-17270
3671327905493730194,119P04445
3672138705126441352,119N09647
3676616388920735760,119N05909
3668953029099111035,119P04571
3666310035071813445,119N07010
3670166009467528109,119P09647
3655584028560605393,119N05970
3657986031970256926,119-07045
3668203514354736495,119-04426
3668333222367827820,119P17205
3668398342661245467,119+13069
3672594341026783792,119N17285
3672694413763561200,119+14282
3672353234447711954,119N17285
3665435880380346810,119P05954
3666582572223856234,119N04574
3665672249611037249,119-05921
3668778975548031460,119P07152
3670947912555744630,119-04639
3670631223144635740,119-04382
3671489593833381545,119N04681
3661934150592754530,119P04588
3670937458604479716,119P04631
3670744374059419035,119N08559
3655018553167823680,119+08610
3662975306502107038,119N04477
3672612440019010430,119N17285
3663145580479813029,119-05953
3670157359403395650,119P04569
3664602570820478960,119-05698
3666893081177937101,119-04423
3663332914065132260,119-04658
3663018732916188906,119-04557
3664893949997059937,119N05954
3664978513608138825,119P04556
3680754804657955850,119+14288
3664171888685567544,119P04558
3659310144615863340,119N17472
3668342370647961340,119-05928
3676628414829165810,119P05909
3677105486910840102,119N05907
3668425242042126950,119N17205
3670091796727084600,119+12929
3670751203055898603,119P17219
3670971788279195244,119P17088
3661152659820460040,119+04561
3668366027327170635,119+04684
3672302502293544070,119N04682
3670478515583141395,119N04570
3668276133661780611,119+04380
3658673269687822569,119-04460
3664901371700922015,119N05920
3668556990165179375,119-05956
3679285827058818097,119N07042
3662659995770736334,119-04466
3664991535946421613,119N12421
3672824061647118649,119N04682
3674083818505578765,119-05899
3672037975254309913,119N04629
3676580869541193750,119N05909
3670670165612869722,119P16920
3665806020662436265,119N05917
3684877586715438649,119-07043
3668583640437306335,119P05957
3672143373753949607,119+16906
3664275294318186615,119+05921
3661641912430370159,119N05921
3667962772849358357,119N04573
3671327952738370050,119P04445
3671884215429429645,119P17226
3672498318442924923,119-07138
3661288505340415208,119P05951
3671846892164226045,119P08559
3665030950864212129,119+17342
3666983095102604016,119+04427
3670739224392108724,119N17219
3669596050126952805,119-04543
3671212993641274275,119N04630
3667212600975114530,119N04474
3662289383044271695,119P05952
3686160617998102791,119N08558
3664851133468103682,119N04556
3670229845563890125,119+04644
3673342464198114047,119-08551
3675335457872172185,119-04624
3667155288931525935,119N14040
3664995860978475290,119-07008
3670506239597023090,119P17298
3671887556913951947,119N17226
3689224115092582255,119-05150
3670311999700905930,119N04569
3670694810135196165,119P16920
3661819075534072401,119+04589
3662819016933596431,119P13901
3683083046299967003,119-07043
3664651232805603925,119P05920
3662951104361419809,119P05921
3666837766293743349,119P16811
3670818118643364577,119N06951
3662272284779470695,119P05952
3672480867990809491,119P17200
3665789184390635935,119N05917
3684953388593245129,119-07043
3650469465540169065,119+04459
3667349876719858901,119P16509
3650026998009319407,119+04459
3660831881597730146,119+04561
3669088062869223340,119N12427
3670673021766112820,119-16919
3678117827880362725,119N05982
3678108567932099125,119-14303
3672704146161082000,119N17268
3650513703703328000,119-05037
3672096833489577739,119P04682
3668577348310280655,119P05957
3651446420275074300,119+04667
3668969959858545415,119-04686
3668938752627818009,119P04571
3661797708073091040,119N05952
3670638756517070115,119P17219
3676272778649571563,119-05983
3689077012462699910,119-05151
3677298283697540357,119P13053
3656235716832977120,119N04675
3656589493289062180,119-08549
3668486097435020005,119P05917
3670920974520038566,119N04631
3667408077821624209,119P04474
3664935903235016779,119P07023
3689352375699494964,119-05878
3668447442728078894,119+04546
3671762964205954896,119-16930
3665798397095495240,119P05917
3669663223412313310,119N16836
3675567257257067154,119N04624
3668329507221780576,119P04580
3665084101081571690,119-07008
3680753516167768055,119-16952
3658543900978003386,119-04460
3684801887916844500,119+09614
3669580321955633178,119N04718
3670455795202276335,119-06950
3668569883656965869,119P05956
3663330637732457490,119-04658
3673434333550851898,119P09647
3671384809516256985,119+04681
3669099637806206315,119+16914
3673183919776221831,119+14282
3683024578910164306,119+09613
3678010788705715555,119-14255
3664561038486936864,119N04651
3666291266064725919,119N07010
3676809507829897434,119+05908
3666437814643860014,119+09559
3678095764634678934,119-04708
3672814634193902235,119P04682
3676584756486595660,119N12929
3682305438173594484,119N05876
3669571667596402703,119P04605
3670441707713276235,119+04389
3671781149099202434,119N04569
3677951522453010575,119-04708
3665789570937691640,119N05917
3671502182382520264,119P17219
3672512135352729514,119N04386
3664053158609058099,119N05953
3664265231209232401,119N05953
3670659720252404110,119-16919
3670952576892464119,119+04680
3678007782229632353,119P04709
3670788629400944351,119N17219
3684997957468873688,119+09614
3668575265251072025,119P05957
3669074598146762712,119-04724
3664806255355182139,119N05920
3668885082714936225,119-04426
3686764687968434474,119-08557
3672549329769511392,119P04386
3661151517357103595,119P04462
3664996664139924124,119P04556
3666155669654093965,119N07111
3650448510394737559,119+04459
3672452997946147026,119-04677
3674126355861677000,119P17298
3670206790179495394,119N04644
3662862920090580510,119+04588
3672583758225964848,119N04443
3654269665488760565,119-05038
3676632284594681913,119N05909
3668027790063366043,119P17204
3678126855902804313,119N14303
3669695414193999056,119P07012
3686231107001365038,119N08558
3668355384399212610,119P04578
3664977830708330585,119N04556
3670912702413000696,119N04631
3664390356492044850,119N05921
3667174934112469084,119P17205
3668535042881907875,119P04581
3664455189021429456,119P04589
3668213972600840535,119P04546
3672289359690030056,119N04629
3664072408652491727,119+05953
3665748373609195258,119+04587
3667948994593362010,119P17204
3676617037460814815,119P05909
3681189111751280765,119P07043
3669662729491070620,119N16836
3672291661795796415,119+14144
3664187268963418960,119P04558
3664983289609281194,119+07009
3652099663323902255,119+10220
3666841816447910220,119-04415
3671644693693718760,119P14319
3667117622067893372,119P14154
3662716006439233680,119+04467
3663286670153992073,119P04465
3672172583828451343,119P17285
3647886390602705308,119-05642
3670621559468000855,119N16920
3655321223806948229,119N14029
3685170610858038885,119N04431
3655468051558721566,119N04459
3676413301392278250,119-05909
3655379467858434186,119P05971
3666714694006228225,119P12427
3669466213265042570,119P14143
3671930794349333735,119N17200
3674635627311862072,119-04708
3668446768419523982,119P05917
3671186424976838662,119P04680
3669558512111786130,119N04721
3670198938979317477,119N04644
3668474019987018953,119P05957
3668894394204054656,119+04428
3672839205701293917,119P14223
3664655506298062226,119N05920
3668095285473848759,119+04380
3672506942737260785,119-07138
3649686918203848194,119+04459
3664873690636337735,119N04556
3670920669581338552,119P04568
3669704884598154654,119+04602
3672638750986688967,119P04677
3668096307676688025,119N04543
3655677336722255866,119P07003
3678950166773861605,119P14291
3670672867147531577,119N04682
3672064831684814594,119N04629
3671980358268052015,119N04629
3670621971784873858,119N17219
3662661146821951097,119P07050
3665781453447267415,119N13064
3672565740839566935,119P04386
3673383532677666715,119N09647
3665051472215014501,119P07023
3670493719767358420,119N17273
3672699666507845700,119P14197
3670501953219666768,119N04389
3678058308224904150,119+06994
3650620549604753545,119-05037
3660995021633735533,119P04462
3678205574062371182,119N11391
3666753262812217453,119N04606
3660874290103936195,119N05951
3664968218571520048,119N04556
3664748664135999875,119N04582
3668977531887533710,119P04571
3676082292555099212,119N05874
3676657727980965999,119P05909
3672275366689875502,119-16917
3669665048773416990,119N16836
3667104329144563507,119N04474
3675850488878162520,119P05910
3676285096615773399,119N05983
3659408580972038264,119+04671
3678341071691152007,119N04625
3658122431538683420,119P07075
3663174992414362362,119P04465
3668663458105850153,119-06947
3674116395832518769,119N05899
3672418908788347230,119-05043
